id,dataset_name,folding,method
5s_Acidovorax-temperans-1,archiveII,"[[2, 115], [3, 114], [4, 113], [5, 112], [6, 111], [7, 110], [8, 109], [9, 108], [10, 107], [16, 68], [17, 67], [18, 66], [19, 65], [20, 63], [21, 62], [22, 61], [23, 60], [28, 56], [29, 55], [30, 54], [31, 53], [35, 51], [36, 50], [37, 49], [69, 104], [70, 103], [71, 102], [81, 92], [82, 91], [83, 90], [84, 89]]",RNAfold
5s_Methanothermobacter-thermautotrophicus-6,archiveII,"[[3, 125], [4, 124], [5, 123], [7, 122], [8, 121], [9, 120], [10, 119], [11, 118], [12, 117], [13, 116], [18, 70], [19, 69], [20, 67], [21, 66], [22, 65], [23, 64], [24, 63], [25, 62], [27, 60], [28, 59], [29, 58], [33, 53], [34, 52], [35, 51], [36, 50], [39, 47], [40, 46], [41, 45], [71, 115], [74, 112], [75, 111], [76, 110], [77, 109], [78, 108], [79, 107], [85, 103], [86, 102], [87, 101], [88, 100], [89, 99], [90, 98], [91, 97]]",RNAfold
5s_Saprospira-grandis-1,archiveII,"[[5, 118], [6, 117], [7, 116], [8, 115], [9, 114], [10, 113], [11, 112], [12, 77], [13, 76], [16, 73], [17, 72], [18, 71], [19, 70], [20, 66], [21, 65], [22, 64], [23, 63], [24, 62], [25, 61], [30, 56], [31, 55], [32, 52], [33, 51], [34, 50], [35, 49], [80, 99], [81, 98], [82, 97], [83, 96], [84, 95], [85, 94], [86, 93], [87, 92]]",RNAfold
grp1_a.I1.e.P.inouyei.C1.SSU.1506,archiveII,"[[7, 406], [8, 405], [12, 402], [13, 401], [14, 400], [15, 399], [16, 398], [17, 27], [18, 26], [19, 25], [28, 47], [29, 46], [30, 45], [32, 43], [33, 42], [34, 41], [35, 40], [48, 390], [49, 389], [50, 388], [51, 387], [52, 386], [53, 385], [54, 384], [55, 383], [65, 298], [66, 297], [67, 296], [68, 295], [69, 294], [70, 83], [71, 82], [72, 81], [73, 80], [86, 267], [87, 266], [88, 265], [89, 264], [90, 263], [91, 262], [92, 261], [93, 117], [94, 116], [95, 115], [97, 112], [98, 111], [99, 110], [120, 134], [121, 133], [122, 132], [123, 131], [124, 130], [125, 129], [148, 260], [149, 259], [150, 258], [151, 257], [152, 256], [153, 255], [157, 252], [158, 251], [159, 250], [160, 249], [167, 245], [168, 244], [169, 243], [170, 242], [171, 241], [172, 240], [173, 239], [174, 238], [175, 237], [176, 231], [177, 230], [178, 229], [179, 228], [181, 203], [182, 202], [183, 201], [184, 200], [185, 199], [186, 198], [187, 196], [188, 195], [189, 194], [206, 224], [207, 223], [208, 222], [209, 221], [210, 220], [211, 219], [268, 291], [269, 290], [270, 289], [271, 288], [273, 286], [274, 285], [275, 284], [276, 283], [277, 282], [303, 357], [304, 356], [305, 355], [306, 354], [307, 353], [309, 351], [310, 350], [316, 347], [317, 346], [318, 345], [319, 344], [320, 343], [321, 342], [322, 341], [323, 340], [324, 339], [325, 338], [326, 337], [327, 336], [328, 335], [329, 334], [360, 381], [361, 380], [362, 379], [363, 378], [364, 377], [366, 375], [367, 374], [368, 373]]",RNAfold
5s_Ralstonia-pickettii-1,archiveII,"[[2, 115], [3, 114], [4, 113], [5, 112], [6, 111], [7, 107], [8, 106], [9, 105], [10, 104], [11, 103], [12, 102], [19, 64], [20, 63], [21, 62], [22, 61], [23, 60], [28, 56], [29, 55], [30, 54], [32, 50], [33, 49], [34, 48], [35, 45], [36, 44], [65, 84], [66, 83], [67, 82], [68, 81], [69, 80], [70, 79]]",RNAfold
5s_Colwellia-psychrerythraea-1,archiveII,"[[2, 117], [3, 116], [4, 115], [5, 114], [6, 113], [7, 112], [8, 111], [9, 110], [10, 109], [16, 68], [17, 67], [18, 66], [19, 64], [20, 63], [21, 62], [22, 61], [23, 60], [28, 56], [29, 55], [30, 54], [31, 51], [32, 50], [33, 49], [34, 48], [35, 45], [36, 44], [69, 77], [70, 76], [71, 75], [81, 94], [82, 93], [83, 92], [84, 91], [85, 90]]",RNAfold
RNaseP_A.brierleyi,archiveII,"[[6, 266], [7, 265], [8, 264], [10, 263], [11, 262], [12, 261], [13, 260], [14, 259], [15, 31], [16, 30], [17, 29], [18, 28], [19, 27], [32, 73], [33, 72], [34, 71], [36, 69], [37, 68], [38, 67], [39, 66], [40, 65], [44, 60], [45, 59], [46, 58], [47, 57], [48, 56], [49, 55], [82, 159], [83, 158], [84, 157], [85, 156], [86, 155], [87, 154], [88, 153], [89, 152], [90, 151], [91, 150], [92, 149], [93, 148], [94, 147], [107, 144], [108, 143], [109, 142], [110, 141], [111, 140], [115, 136], [116, 135], [117, 134], [118, 133], [119, 132], [120, 131], [121, 130], [122, 129], [123, 128], [174, 183], [175, 182], [176, 181], [188, 224], [189, 223], [190, 222], [191, 221], [192, 220], [193, 219], [194, 218], [195, 217], [196, 216], [197, 215], [200, 213], [201, 212], [203, 210], [225, 236], [226, 235], [228, 234]]",RNAfold
RNaseP_S.gordonii,archiveII,"[[3, 381], [4, 380], [5, 379], [6, 378], [7, 377], [8, 376], [9, 375], [10, 374], [11, 373], [12, 372], [13, 371], [14, 53], [15, 52], [16, 51], [17, 50], [20, 47], [21, 46], [23, 43], [24, 42], [25, 41], [26, 40], [27, 39], [28, 38], [29, 37], [30, 36], [55, 245], [56, 244], [57, 243], [58, 242], [59, 241], [60, 240], [61, 239], [62, 79], [63, 78], [64, 77], [65, 76], [66, 75], [67, 74], [83, 119], [84, 118], [85, 117], [86, 116], [87, 115], [88, 114], [90, 111], [91, 110], [92, 109], [93, 108], [94, 107], [95, 106], [122, 141], [123, 140], [124, 139], [125, 138], [126, 137], [127, 136], [128, 135], [142, 164], [143, 163], [144, 162], [145, 161], [149, 158], [150, 157], [151, 156], [167, 185], [168, 184], [170, 183], [171, 182], [172, 181], [173, 179], [174, 178], [187, 224], [188, 223], [189, 222], [193, 218], [194, 217], [196, 215], [197, 214], [198, 213], [199, 212], [200, 211], [201, 210], [202, 209], [203, 208], [225, 234], [226, 233], [247, 264], [248, 263], [249, 262], [252, 259], [253, 258], [268, 296], [269, 295], [270, 294], [271, 293], [272, 292], [273, 291], [274, 290], [275, 289], [276, 287], [277, 286], [298, 309], [299, 308], [300, 307], [301, 306], [313, 351], [314, 350], [315, 349], [316, 348], [317, 345], [318, 344], [319, 343], [320, 342], [321, 341], [327, 340], [328, 339], [329, 338]]",RNAfold
23s_H.pylori_domain6,archiveII,"[[2, 157], [3, 156], [4, 155], [5, 154], [6, 153], [7, 152], [8, 151], [9, 150], [12, 143], [13, 142], [14, 141], [15, 140], [18, 46], [19, 45], [20, 44], [21, 43], [22, 42], [23, 41], [24, 40], [27, 38], [28, 37], [30, 35], [48, 101], [49, 100], [50, 99], [51, 98], [52, 97], [56, 95], [57, 94], [59, 92], [60, 91], [61, 90], [63, 89], [64, 88], [65, 87], [66, 86], [67, 85], [68, 82], [69, 81], [70, 79], [71, 78], [72, 77], [112, 132], [113, 131], [114, 130], [115, 129], [116, 128], [163, 241], [164, 240], [165, 239], [166, 238], [167, 183], [168, 182], [169, 181], [170, 180], [171, 179], [188, 234], [189, 233], [190, 232], [191, 230], [192, 229], [193, 228], [194, 227], [195, 226], [201, 220], [202, 219], [203, 218], [204, 217], [205, 216], [206, 215], [207, 214], [208, 213]]",RNAfold
5s_Lactobacillus-plantarum-1,archiveII,"[[2, 115], [3, 114], [4, 113], [5, 112], [6, 111], [7, 110], [8, 109], [9, 108], [10, 107], [11, 38], [12, 37], [13, 36], [14, 35], [16, 34], [17, 33], [18, 32], [20, 30], [21, 29], [22, 28], [48, 62], [49, 61], [50, 60], [51, 59], [52, 58], [53, 57], [64, 90], [65, 89], [66, 88], [67, 87], [68, 81], [69, 80], [70, 79], [71, 78], [92, 105], [93, 104], [94, 103], [95, 102], [96, 101]]",RNAfold
