fold_name,fold_number,partition,id
0,0,train,16s_C.reinhardtii.mito_domain3
0,0,train,srp_Kluy.lact._CR382126
0,0,train,grp1_a.I1.e.L.dispersa.UNK.SSU.1210
0,0,valid,grp1_a.I1.e.L.dispersa.UNK.SSU.789
0,0,test,16s_M.polymorpha_domain3
1,1,train,16s_C.reinhardtii.mito_domain3
1,1,train,16s_M.polymorpha_domain3
1,1,train,grp1_a.I1.e.L.dispersa.UNK.SSU.1210
1,1,valid,srp_Kluy.lact._CR382126
1,1,test,grp1_a.I1.e.L.dispersa.UNK.SSU.789
2,2,train,grp1_a.I1.e.L.dispersa.UNK.SSU.789
2,2,train,16s_M.polymorpha_domain3
2,2,train,grp1_a.I1.e.L.dispersa.UNK.SSU.1210
2,2,valid,srp_Kluy.lact._CR382126
2,2,test,16s_C.reinhardtii.mito_domain3
3,3,train,grp1_a.I1.e.L.dispersa.UNK.SSU.789
3,3,train,16s_M.polymorpha_domain3
3,3,train,16s_C.reinhardtii.mito_domain3
3,3,valid,srp_Kluy.lact._CR382126
3,3,test,grp1_a.I1.e.L.dispersa.UNK.SSU.1210
4,4,train,16s_C.reinhardtii.mito_domain3
4,4,train,16s_M.polymorpha_domain3
4,4,train,grp1_a.I1.e.L.dispersa.UNK.SSU.1210
4,4,valid,grp1_a.I1.e.L.dispersa.UNK.SSU.789
4,4,test,srp_Kluy.lact._CR382126
