epoch,step,train_loss,val_f1,val_loss
0,126,0.048616185784339905,0.09646465629339218,0.01482602022588253
1,253,0.011712896637618542,0.2163625955581665,0.009837054647505283
2,380,0.007527065463364124,0.36839625239372253,0.0063963355496525764
3,507,0.005770976189523935,0.4237141013145447,0.0052565522491931915
4,634,0.004793698433786631,0.47644010186195374,0.004987818654626608
5,761,0.004153869114816189,0.5533039569854736,0.00430668517947197
6,888,0.003585041966289282,0.5300440788269043,0.004390696529299021
7,1015,0.0029620646964758635,0.5982306599617004,0.003572063986212015
8,1142,0.002852673875167966,0.6650010943412781,0.003104365896433592
9,1269,0.002411708701401949,0.7217833995819092,0.0030857978854328394
10,1396,0.002225098665803671,0.715335488319397,0.0027477401308715343
11,1523,0.001908575533889234,0.6909895539283752,0.0027413670904934406
12,1650,0.0015801689587533474,0.7815663814544678,0.0027588435914367437
13,1777,0.0014040779788047075,0.7746503353118896,0.0025443541817367077
14,1904,0.0012746936408802867,0.7885683178901672,0.002763335360214114
