run_name,status,timesteps,batch_size,use_amp,train_batch_count,eval_batch_count,train_batch_ms,train_forward_ms,train_backward_ms,eval_no_f1_ms,eval_with_f1_ms,eval_sample_ms,cpu_op_ms_trace,gpu_total_ms_trace,train_forward_cpu_ms_keyavg,train_forward_cuda_ms_keyavg,train_backward_cpu_ms_keyavg,train_backward_cuda_ms_keyavg,max_alloc_gb_trace,max_reserved_gb_trace,train_forward_alloc_avg_mb_gpu,train_forward_alloc_peak_mb_gpu,train_backward_alloc_avg_mb_gpu,train_backward_alloc_peak_mb_gpu,train_step_alloc_avg_mb_gpu,train_step_alloc_peak_mb_gpu,train_forward_alloc_avg_mb_cpu,train_forward_alloc_peak_mb_cpu,train_backward_alloc_avg_mb_cpu,train_backward_alloc_peak_mb_cpu,train_step_alloc_avg_mb_cpu,train_step_alloc_peak_mb_cpu,oom_events,trace_size_mb,trace_path
sim90_bs4_pb4_5ts_fp32,ok,5,4,False,3.0,8.0,167.67233333333334,85.72366666666667,77.80833333333332,40.94925,95.189,33.787,2253.39,608.221,257.169,59.833,233.424,0.003,1.8216514587402344,23.1328125,773.2575303416421,1627.5450846354167,819.573475135885,1564.2496744791667,88.7746323996443,94.16682942708333,0.033138275146484375,0.03314208984375,0.033138275146484375,0.03314208984375,0.033141136169433594,0.033145904541015625,0.0,62.414419174194336,logs/diffusion_profiler_light/sim90_bs4_pb4_5ts_fp32/profiler_traces/pc59_3193258.1772558122981464965.pt.trace.json
sim90_bs4_pb4_5ts_amp,ok,5,4,True,3.0,8.0,127.686,59.42666666666666,63.17,53.141,124.07025,32.97975,2336.048,601.573,178.28,67.174,189.509,0.006,1.9069132804870605,23.1328125,891.8158224401164,1865.5498046875,911.9670131712955,1873.7032877604167,90.10876557321261,96.06624348958333,0.033138275146484375,0.03314208984375,0.033138275146484375,0.03314208984375,0.033141136169433594,0.033145904541015625,0.0,71.49131679534912,logs/diffusion_profiler_light/sim90_bs4_pb4_5ts_amp/profiler_traces/pc59_3193258.1772558139504990093.pt.trace.json
sim90_bs4_pb4_10ts,unknown,10,4,False,4.0,8.0,394.7635,209.72875,167.574,80.4305,171.97325,67.8615,6074.183,1957.16,,,,,3.8883910179138184,4.1640625,1523.319605519845,3156.6199951171875,1575.8221616712976,3089.5125732421875,66.55524947003622,73.865234375,0.0041065216064453125,0.0041103363037109375,0.0041065216064453125,0.0041103363037109375,0.004179525375366211,0.004192352294921875,0.0,145.7107334136963,logs/diffusion_profiler_light/sim90_bs4_pb4_10ts/profiler_traces/pc59_3193258.1772551478233592020.pt.trace.json
sim90_bs4_pb4_10ts_fp32,ok,10,4,False,3.0,8.0,203.68133333333336,93.87766666666667,103.887,81.86225,170.30925,65.71225,3017.434,1253.201,281.631,146.455,311.66,0.003,3.9101014137268066,23.1328125,1878.3142271878442,3840.7804361979165,1936.733035694544,3776.6637369791665,90.13706014989837,95.75895182291667,0.033138275146484375,0.03314208984375,0.033138275146484375,0.03314208984375,0.033141136169433594,0.033145904541015625,0.0,115.54751396179199,logs/diffusion_profiler_light/sim90_bs4_pb4_10ts_fp32/profiler_traces/pc59_3193258.1772558162292663788.pt.trace.json
sim90_bs4_pb4_10ts_amp,ok,10,4,True,3.0,8.0,235.42566666666664,105.477,124.13,94.92375,216.1095,72.89775,4314.379,1192.351,316.43,136.829,372.389,0.006,3.7760791778564453,23.1328125,1777.8898889622687,3641.3883463541665,1797.9112934194175,3649.75244140625,92.102207068241,98.00911458333333,0.033138275146484375,0.03314208984375,0.033138275146484375,0.03314208984375,0.033141136169433594,0.033145904541015625,0.0,138.82420253753662,logs/diffusion_profiler_light/sim90_bs4_pb4_10ts_amp/profiler_traces/pc59_3193258.1772558192636373528.pt.trace.json
sim90_bs4_pb4_15ts_fp32,ok,15,4,False,3.0,8.0,274.095,126.68366666666667,142.64366666666666,112.32175,250.47075,101.2975,4236.962,1752.541,380.051,177.513,427.929,0.003,5.329360485076904,23.1328125,2189.4318743721706,4423.268717447917,2238.7377494859716,4400.928385416667,88.874977173844,94.18782552083333,0.033138275146484375,0.03314208984375,0.033138275146484375,0.03314208984375,0.033141136169433594,0.033145904541015625,0.0,173.60128498077393,logs/diffusion_profiler_light/sim90_bs4_pb4_15ts_fp32/profiler_traces/pc59_3193258.1772558228495300640.pt.trace.json
sim90_bs4_pb4_15ts_amp,ok,15,4,True,3.0,8.0,540.9336666666667,272.3546666666667,258.99966666666666,148.398,273.0055,102.09625,8708.665,1757.334,817.063,171.852,776.996,0.006,5.210321426391602,23.1328125,2121.513241840581,4326.744140625,2137.9356534331496,4264.311686197917,88.80603707325439,97.34716796875,0.03334681193033854,0.033350626627604164,0.03334681193033854,0.033350626627604164,0.03344319661458333,0.033458709716796875,0.0,214.50948524475098,logs/diffusion_profiler_light/sim90_bs4_pb4_15ts_amp/profiler_traces/pc59_3193258.1772558273660154951.pt.trace.json
sim90_bs4_pb4_25ts,unknown,25,4,False,4.0,8.0,509.0175,213.0825,290.1,167.105,381.57525,161.89275,8435.414,3448.993,,,,,9.403230667114258,9.650390625,4127.3940572544425,8363.661254882812,4181.801898748813,8300.2216796875,67.64350146782107,74.893310546875,0.012468338012695312,0.012472152709960938,0.012468338012695312,0.012472152709960938,0.01254134178161621,0.012554168701171875,0.0,331.9356632232666,logs/diffusion_profiler_light/sim90_bs4_pb4_25ts/profiler_traces/pc59_3193258.1772551588833247502.pt.trace.json
sim90_bs4_pb4_25ts_fp32,ok,25,4,False,3.0,8.0,585.5566666666666,281.4276666666667,297.5986666666667,188.0305,408.6595,176.06625,8465.36,3215.512,844.283,386.316,892.793,0.003,10.022832870483398,23.1328125,4989.328307786706,10066.95849609375,5052.442712071091,10007.88671875,90.03698234247967,95.44873046875,0.033451080322265625,0.03345489501953125,0.033451080322265625,0.03345489501953125,0.033453941345214844,0.033458709716796875,0.0,289.6149311065674,logs/diffusion_profiler_light/sim90_bs4_pb4_25ts_fp32/profiler_traces/pc59_3193258.1772558332307347559.pt.trace.json
sim90_bs4_pb4_25ts_amp,ok,25,4,True,3.0,8.0,614.622,284.513,321.123,224.221,451.69625,177.24975,10515.938,2956.518,853.538,334.639,963.369,0.006,8.552274227142334,23.1328125,4225.4380341242495,8549.77587890625,4244.597754856052,8557.796875,78.99120243682226,85.55061848958333,0.03355534871419271,0.033559163411458336,0.03355534871419271,0.033559163411458336,0.03375062942504883,0.033771514892578125,0.0,341.01413440704346,logs/diffusion_profiler_light/sim90_bs4_pb4_25ts_amp/profiler_traces/pc59_3193258.1772558402358147473.pt.trace.json
sim90_bs4_pb4_30ts_fp32,ok,30,4,False,3.0,8.0,570.7646666666666,265.8686666666667,297.888,240.7495,415.43,192.5705,8535.642,3773.376,797.603,444.648,893.662,0.003,11.292572975158691,23.1328125,5617.0931375702685,11280.48583984375,5677.882913686197,11255.558268229166,89.84391077553353,95.08154296875,0.033763885498046875,0.0337677001953125,0.033763885498046875,0.0337677001953125,0.033766746520996094,0.033771514892578125,0.0,343.7995557785034,logs/diffusion_profiler_light/sim90_bs4_pb4_30ts_fp32/profiler_traces/pc59_3193258.1772558477314091372.pt.trace.json
sim90_bs4_pb4_30ts_amp,ok,30,4,True,3.0,8.0,712.638,337.1956666666667,367.176,278.76525,463.68575,199.2785,12181.275,3511.949,1011.585,395.27,1101.527,0.006,10.819221496582031,11.091796875,5054.095094662168,10210.77392578125,5073.270529569727,10218.652669270834,79.66087370865131,86.35823567708333,0.03386815388997396,0.033871968587239586,0.03386815388997396,0.033871968587239586,0.03406343460083008,0.034084320068359375,0.0,408.36012077331543,logs/diffusion_profiler_light/sim90_bs4_pb4_30ts_amp/profiler_traces/pc59_3193258.1772558561785946360.pt.trace.json
