run_name,status,timesteps,batch_size,use_amp,oom_events,trace_path,trace_size_mb,train_batch_ms,train_forward_ms,train_backward_ms,train_step_ms,eval_no_f1_ms,eval_with_f1_ms,max_alloc_gb_trace,max_reserved_gb_trace,cpu_op_ms_trace,gpu_total_ms_trace,train_forward_alloc_delta_avg_mb_gpu,train_forward_alloc_delta_peak_mb_gpu,train_backward_alloc_delta_avg_mb_gpu,train_backward_alloc_delta_peak_mb_gpu,train_step_alloc_delta_avg_mb_gpu,train_step_alloc_delta_peak_mb_gpu,train_forward_alloc_delta_avg_mb_cpu,train_forward_alloc_delta_peak_mb_cpu,train_backward_alloc_delta_avg_mb_cpu,train_backward_alloc_delta_peak_mb_cpu,train_step_alloc_delta_avg_mb_cpu,train_step_alloc_delta_peak_mb_cpu,train_forward_alloc_traffic_mb_gpu,train_forward_free_traffic_mb_gpu,train_backward_alloc_traffic_mb_gpu,train_backward_free_traffic_mb_gpu,train_step_alloc_traffic_mb_gpu,train_step_free_traffic_mb_gpu,train_forward_alloc_traffic_mb_cpu,train_forward_free_traffic_mb_cpu,train_backward_alloc_traffic_mb_cpu,train_backward_free_traffic_mb_cpu,train_step_alloc_traffic_mb_cpu,train_step_free_traffic_mb_cpu
sim90_bs4_pb4_5ts_fp32,ok,5,4,False,0.0,/home/gkulemeyer/Documents/Repos/RNADiffusion/profiler/logs/diffusion_profiler_light/sim90_bs4_pb4_5ts_fp32/profiler_traces/pc59_3193258.1772558122981464965.pt.trace.json,62.414419174194336,167.67233333333334,85.72366666666667,77.80833333333332,3.556,40.94925,95.189,1.8216514587402344,23.1328125,2253.39,608.221,701.3413519562255,1555.62890625,0.41127444881280595,74.34651692708333,5.657607660060975,11.0498046875,2.5431315104166665e-06,5.086263020833333e-06,3.814697265625e-06,7.62939453125e-06,6.67572021484375e-06,1.1444091796875e-05,5650.099446614583,4232.112467447917,6185.441080729167,7592.227213541667,11.0498046875,11.0498046875,0.000579833984375,0.000579833984375,7.62939453125e-05,7.62939453125e-05,0.00093841552734375,0.00093841552734375
sim90_bs4_pb4_5ts_amp,ok,5,4,True,0.0,/home/gkulemeyer/Documents/Repos/RNADiffusion/profiler/logs/diffusion_profiler_light/sim90_bs4_pb4_5ts_amp/profiler_traces/pc59_3193258.1772558139504990093.pt.trace.json,71.49131679534912,127.686,59.42666666666666,63.17,4.475666666666667,53.141,124.07025,1.9069132804870605,23.1328125,2336.048,601.573,818.8765320755332,1792.6105143229167,0.2851040017491653,161.81363932291666,5.583212187795929,11.540690104166666,2.5431315104166665e-06,5.086263020833333e-06,3.814697265625e-06,7.62939453125e-06,6.67572021484375e-06,1.1444091796875e-05,5201.910481770833,3562.9601236979165,7833.333821614583,9460.697916666666,11.543131510416666,11.543131510416666,0.000579833984375,0.000579833984375,7.62939453125e-05,7.62939453125e-05,0.00093841552734375,0.00093841552734375
sim90_bs4_pb4_10ts,unknown,10,4,False,0.0,/home/gkulemeyer/Documents/Repos/RNADiffusion/profiler/logs/diffusion_profiler_light/sim90_bs4_pb4_10ts/profiler_traces/pc59_3193258.1772551478233592020.pt.trace.json,145.7107334136963,394.7635,209.72875,167.574,16.98075,80.4305,171.97325,3.8883910179138184,4.1640625,6074.183,1957.16,1480.737574269845,3114.0379638671875,0.2191623940113901,71.03466796875,8.953686970036205,16.263671875,3.814697265625e-06,7.62939453125e-06,3.814697265625e-06,7.62939453125e-06,7.681846618652343e-05,8.96453857421875e-05,9205.911743164062,6230.015869140625,13098.0078125,16058.884155273438,16.263671875,10.88623046875,0.00115203857421875,0.00115203857421875,0.000152587890625,0.000152587890625,0.0010166168212890625,0.00093841552734375
sim90_bs4_pb4_10ts_fp32,ok,10,4,False,0.0,/home/gkulemeyer/Documents/Repos/RNADiffusion/profiler/logs/diffusion_profiler_light/sim90_bs4_pb4_10ts_fp32/profiler_traces/pc59_3193258.1772558162292663788.pt.trace.json,115.54751396179199,203.68133333333336,93.87766666666667,103.887,5.267666666666667,81.86225,170.30925,3.9101014137268066,23.1328125,3017.434,1253.201,1804.9157896878442,3767.3819986979165,0.25513319190079575,76.2509765625,5.910334889481708,11.5322265625,2.5431315104166665e-06,5.086263020833333e-06,3.814697265625e-06,7.62939453125e-06,6.67572021484375e-06,1.1444091796875e-05,11093.78466796875,7466.770345052083,16597.778483072918,20213.964518229168,11.5322265625,11.5322265625,0.00115203857421875,0.00115203857421875,0.000152587890625,0.000152587890625,0.00093841552734375,0.00093841552734375
sim90_bs4_pb4_10ts_amp,ok,10,4,True,0.0,/home/gkulemeyer/Documents/Repos/RNADiffusion/profiler/logs/diffusion_profiler_light/sim90_bs4_pb4_10ts_amp/profiler_traces/pc59_3193258.1772558192636373528.pt.trace.json,138.82420253753662,235.42566666666664,105.477,124.13,5.196,94.92375,216.1095,3.7760791778564453,23.1328125,4314.379,1192.351,1703.547441045602,3567.0458984375,0.1467687817061619,163.29703776041666,5.562819047407671,11.4697265625,2.5431315104166665e-06,5.086263020833333e-06,3.814697265625e-06,7.62939453125e-06,6.67572021484375e-06,1.1444091796875e-05,10750.4765625,7338.363606770833,15221.52099609375,18621.43701171875,11.47216796875,11.47216796875,0.00115203857421875,0.00115203857421875,0.000152587890625,0.000152587890625,0.00093841552734375,0.00093841552734375
sim90_bs4_pb4_15ts_fp32,ok,15,4,False,0.0,/home/gkulemeyer/Documents/Repos/RNADiffusion/profiler/logs/diffusion_profiler_light/sim90_bs4_pb4_15ts_fp32/profiler_traces/pc59_3193258.1772558228495300640.pt.trace.json,173.60128498077393,274.095,126.68366666666667,142.64366666666666,4.301666666666667,112.32175,250.47075,5.329360485076904,23.1328125,4236.962,1752.541,2117.667063174254,4351.50390625,0.13732479243997545,77.34033203125,5.549293580094004,10.862141927083334,2.5431315104166665e-06,5.086263020833333e-06,3.814697265625e-06,7.62939453125e-06,6.67572021484375e-06,1.1444091796875e-05,14941.40869140625,10689.58544921875,19108.436686197918,23348.699055989582,10.862141927083334,10.862141927083334,0.0017242431640625,0.0017242431640625,0.0002288818359375,0.0002288818359375,0.00093841552734375,0.00093841552734375
sim90_bs4_pb4_15ts_amp,ok,15,4,True,0.0,/home/gkulemeyer/Documents/Repos/RNADiffusion/profiler/logs/diffusion_profiler_light/sim90_bs4_pb4_15ts_amp/profiler_traces/pc59_3193258.1772558273660154951.pt.trace.json,214.50948524475098,540.9336666666667,272.3546666666667,258.99966666666666,9.017,148.398,273.0055,5.210321426391602,23.1328125,8708.665,1757.334,2054.747128559331,4259.97802734375,0.07562078314656488,87.36442057291667,10.154995406587707,18.696126302083332,2.5431315104166665e-06,5.086263020833333e-06,3.814697265625e-06,7.62939453125e-06,0.00010019938151041666,0.00011571248372395833,14237.203287760416,10127.022135416666,16927.5400390625,21025.836263020832,18.698567708333332,10.854654947916666,0.0017242431640625,0.0017242431640625,0.0002288818359375,0.0002288818359375,0.0010426839192708333,0.00093841552734375
sim90_bs4_pb4_25ts,unknown,25,4,False,0.0,/home/gkulemeyer/Documents/Repos/RNADiffusion/profiler/logs/diffusion_profiler_light/sim90_bs4_pb4_25ts/profiler_traces/pc59_3193258.1772551588833247502.pt.trace.json,331.9356632232666,509.0175,213.0825,290.1,5.3295,167.105,381.57525,9.403230667114258,9.650390625,8435.414,3448.993,4079.72303674663,8315.990234375,0.09180287082897103,75.8214111328125,8.963203616258575,16.2130126953125,3.814697265625e-06,7.62939453125e-06,3.814697265625e-06,7.62939453125e-06,7.681846618652343e-05,8.96453857421875e-05,27821.291137695312,19644.561889648438,35257.878173828125,43423.59814453125,16.2130126953125,10.65234375,0.00286865234375,0.00286865234375,0.0003814697265625,0.0003814697265625,0.0010166168212890625,0.00093841552734375
sim90_bs4_pb4_25ts_fp32,ok,25,4,False,0.0,/home/gkulemeyer/Documents/Repos/RNADiffusion/profiler/logs/diffusion_profiler_light/sim90_bs4_pb4_25ts_fp32/profiler_traces/pc59_3193258.1772558332307347559.pt.trace.json,289.6149311065674,585.5566666666666,281.4276666666667,297.5986666666667,5.990666666666667,188.0305,408.6595,10.022832870483398,23.1328125,8465.36,3215.512,4915.822122890873,9993.452311197916,0.10512668515464386,82.39713541666667,5.584020102896342,10.995768229166666,2.5431315104166665e-06,5.086263020833333e-06,3.814697265625e-06,7.62939453125e-06,6.67572021484375e-06,1.1444091796875e-05,31084.147786458332,21232.164388020832,38887.552734375,48728.58935546875,10.995768229166666,10.995768229166666,0.00286865234375,0.00286865234375,0.0003814697265625,0.0003814697265625,0.00093841552734375,0.00093841552734375
sim90_bs4_pb4_25ts_amp,ok,25,4,True,0.0,/home/gkulemeyer/Documents/Repos/RNADiffusion/profiler/logs/diffusion_profiler_light/sim90_bs4_pb4_25ts_amp/profiler_traces/pc59_3193258.1772558402358147473.pt.trace.json,341.01413440704346,614.622,284.513,321.123,7.844333333333333,224.221,451.69625,8.552274227142334,23.1328125,10515.938,2956.518,4166.1663869888325,8490.504231770834,0.059353645900566986,162.54329427083334,7.9920162389056015,14.551432291666666,2.5431315104166665e-06,5.086263020833333e-06,3.814697265625e-06,7.62939453125e-06,0.00014696121215820312,0.0001678466796875,25317.562825520832,16981.580891927082,38533.156412760414,46857.410807291664,14.553385416666666,7.164713541666667,0.00286865234375,0.00286865234375,0.0003814697265625,0.0003814697265625,0.001094818115234375,0.00093841552734375
